iter	Accuracy	Logloss
336	0.8103081073	0.40678712
337	0.8101661224	0.4067146287
338	0.8101661224	0.4066305901
339	0.8101661224	0.4065910867
340	0.8103081073	0.4065301915
341	0.8105920772	0.4064613932
342	0.8105920772	0.4063973464
343	0.8105920772	0.4063223143
344	0.8103081073	0.4062769277
345	0.8103081073	0.4062002011
346	0.8108760471	0.4061359175
347	0.8105920772	0.4061007534
348	0.8107340622	0.4060543306
349	0.8107340622	0.4059968442
350	0.8107340622	0.4059640015
351	0.8104500923	0.4058984464
352	0.8105920772	0.4058494734
353	0.8110180321	0.4058091947
354	0.8110180321	0.4057337864
355	0.8108760471	0.4056858338
356	0.8107340622	0.405624984
357	0.8108760471	0.4055886616
358	0.8108760471	0.4055385827
359	0.8110180321	0.4054805946
360	0.8110180321	0.4054013311
361	0.8108760471	0.4053703117
362	0.8105920772	0.4053252881
363	0.8110180321	0.4052681783
364	0.8108760471	0.4052127968
365	0.8110180321	0.4051687218
366	0.8110180321	0.4051364331
367	0.8114439869	0.4050778609
368	0.8114439869	0.4050371801
369	0.811160017	0.4049907788
370	0.811160017	0.4049046236
371	0.811302002	0.4048756584
372	0.811302002	0.4048138997
373	0.811302002	0.4047551262
374	0.8114439869	0.404715545
375	0.8117279568	0.4046740628
376	0.8117279568	0.4046272441
377	0.8118699418	0.4045686033
378	0.8115859719	0.4045142457
379	0.8115859719	0.4044725176
380	0.811302002	0.4044373509
381	0.811302002	0.4043835881
382	0.811160017	0.4043303643
383	0.811302002	0.4042604872
384	0.811302002	0.404201162
385	0.8114439869	0.404163613
386	0.8114439869	0.4041202686
387	0.8114439869	0.4040586141
388	0.8115859719	0.4040213161
389	0.8114439869	0.4039833535
390	0.811160017	0.403945545
391	0.811160017	0.4039032104
392	0.811302002	0.4038719131
393	0.811302002	0.4038170298
394	0.811302002	0.4037836231
395	0.811302002	0.4037442368
396	0.811160017	0.4037091379
397	0.811302002	0.4036465781
398	0.811302002	0.4036142672
399	0.811160017	0.4035731218
400	0.811302002	0.4035324856
401	0.811160017	0.4035074607
402	0.811160017	0.4034375259
403	0.8108760471	0.4033946205
404	0.811160017	0.4033636628
405	0.8108760471	0.4033153759
406	0.8110180321	0.4032681129
407	0.811160017	0.4032267207
408	0.811160017	0.4031935065
409	0.811302002	0.4031551616
410	0.8110180321	0.4031134869
411	0.8108760471	0.4030508971
412	0.8108760471	0.4029992831
413	0.8110180321	0.4029766651
414	0.8107340622	0.402948716
415	0.8110180321	0.4029209885
416	0.8107340622	0.4028971561
417	0.8110180321	0.4028569246
418	0.811160017	0.4028159056
419	0.811160017	0.4027459348
420	0.811160017	0.4027044862
421	0.811160017	0.4026995635
422	0.8114439869	0.402637011
423	0.8117279568	0.4026010426
424	0.8117279568	0.4025619389
425	0.8117279568	0.4025254103
426	0.8115859719	0.4024750194
427	0.8115859719	0.4024468061
428	0.8114439869	0.4024187663
429	0.811302002	0.4023956978
430	0.811302002	0.4023496693
431	0.811302002	0.4023279541
432	0.8117279568	0.4022897394
433	0.8114439869	0.4022463548
434	0.8115859719	0.4022046325
435	0.8114439869	0.4021663072
436	0.811302002	0.4021329267
437	0.8115859719	0.402102671
438	0.8115859719	0.4020533774
439	0.8118699418	0.4020140484
440	0.8118699418	0.4019797589
441	0.8121539117	0.4019276556
442	0.8120119267	0.4019007304
443	0.8120119267	0.4018697113
444	0.8117279568	0.4018370266
445	0.8120119267	0.4018138839
446	0.8120119267	0.401773125
447	0.8121539117	0.4017254298
448	0.8122958966	0.4016930588
449	0.8122958966	0.4016588973
450	0.8121539117	0.4016219404
451	0.8122958966	0.4015832291
452	0.8122958966	0.4015525719
453	0.8121539117	0.4015311681
454	0.8121539117	0.4014991904
455	0.8122958966	0.4014459384
456	0.8121539117	0.4014161317
457	0.8122958966	0.4013857904
458	0.8124378816	0.4013591183
459	0.8124378816	0.4013291917
460	0.8122958966	0.401298168
461	0.8122958966	0.4012599451
462	0.8122958966	0.4012081591
463	0.8124378816	0.4011815377
464	0.8121539117	0.4011462159
465	0.8122958966	0.4011196645
466	0.8120119267	0.4010825213
467	0.8118699418	0.4010601616
468	0.8121539117	0.4010293074
469	0.8122958966	0.4009928907
470	0.8121539117	0.4009551507
471	0.8121539117	0.4009462693
472	0.8122958966	0.4009146997
473	0.8120119267	0.4008805461
474	0.8120119267	0.4008358701
475	0.8121539117	0.4008066998
476	0.8120119267	0.40077431
477	0.8121539117	0.4007442302
478	0.8120119267	0.4007149174
479	0.8122958966	0.4006773949
480	0.8121539117	0.4006405645
481	0.8120119267	0.400618127
482	0.8122958966	0.4005804574
483	0.8122958966	0.4005422524
484	0.8121539117	0.400506282
485	0.8124378816	0.4004840894
486	0.8121539117	0.4004419014
487	0.8121539117	0.4004157274
488	0.8122958966	0.4003778779
489	0.8122958966	0.4003501895
490	0.8125798665	0.4003101494
491	0.8128638364	0.4002770627
492	0.8127218515	0.4002516181
493	0.8130058214	0.4002162506
494	0.8128638364	0.4001981843
495	0.8127218515	0.4001777775
496	0.8128638364	0.4001596745
497	0.8128638364	0.400131446
498	0.8128638364	0.4000717826
499	0.8130058214	0.4000434905
500	0.8127218515	0.4000090191
501	0.8128638364	0.3999845728
